match_id,season,match_name,home_team,away_team,venue,batting_innings,bowling_innings,Player_name,Starting_11,bowling_team_bowl,batting_team_bat,prev_runs,prev_balls,prev_sixes,prev_fours,prev_wickets,prev_conceded,prev_Overs_Bowled,prev_catches,prev_Dream Team,prev_Total_FP,prev_overs,prev_fielding_heroics,prev_duck,luck,Total_FP
20254,2008,DC v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1.0,2.0,Umar Gul,4.0,KKR,,6.0,2.0,1.0,0.0,0.0,30.0,"[5, 7, 13]",,0.0,10.0,3.0,,0,73,27.0
20255,2008,KKR v RR,KKR,RR,"Eden Gardens, Kolkata",1.0,2.0,Umar Gul,4.0,KKR,KKR,,,,,1.0,43.0,"[6, 8, 17, 19]",,0.0,27.0,4.0,,0,97,75.0
20256,2008,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",2.0,1.0,Umar Gul,4.0,KKR,KKR,7.0,4.0,1.0,0.0,2.0,30.0,"[6, 8, 11, 17]",,1.0,75.0,3.3,,0,0,185.0
20257,2010,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,,,,,,,,,0,88,29.0
20258,2010,SRH v DC,SRH,DC,"Barabati Stadium, Cuttack",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,1.0,38.0,"[2, 7, 9, 15]",,1.0,29.0,4.0,,0,93,7.0
20259,2010,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,Umesh Yadav,4.0,DC,,3.0,4.0,0.0,0.0,0.0,36.0,"[8, 13, 17, 20]",,0.0,7.0,4.0,,0,15,37.0
20260,2010,DC v KKR,DC,KKR,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,1.0,27.0,"[2, 4, 6, 18]",0.0,1.0,37.0,4.0,1.0,0,44,64.0
20261,2010,DC v RR,DC,RR,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,2.0,27.0,"[10, 12, 14, 16]",,1.0,64.0,4.0,,0,22,6.0
20262,2010,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,21.0,"[6, 8, 16]",,0.0,6.0,3.0,,0,46,12.0
20263,2010,DC v SRH,DC,SRH,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,11.0,[5],1.0,0.0,12.0,1.0,0.0,0,66,64.0
20264,2011,DC v MI,DC,MI,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,DC,,,,,2.0,24.0,"[5, 7, 9, 17]",,1.0,64.0,4.0,,0,34,4.0
20265,2011,PWI v DC,PWI,DC,"Dr DY Patil Sports Academy, Mumbai",2.0,1.0,Umesh Yadav,4.0,DC,,0.0,4.0,0.0,0.0,0.0,16.0,"[6, 8]",,0.0,4.0,2.0,,1,8,4.0
20266,2011,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,0.0,36.0,"[6, 11, 13, 15]",,0.0,4.0,4.0,,0,39,12.0
20267,2011,DC v KKR,DC,KKR,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,0.0,37.0,"[7, 9, 15, 18]",1.0,0.0,12.0,4.0,0.0,0,92,55.0
20268,2011,Kochi v DC,Kochi,DC,"Nehru Stadium, Kochi",1.0,2.0,Umesh Yadav,4.0,DC,,1.0,1.0,0.0,0.0,2.0,29.0,"[6, 8, 15, 17]",,1.0,55.0,4.0,,0,82,12.0
20269,2011,DC v Kochi,DC,Kochi,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,0.0,28.0,"[4, 6, 15]",1.0,0.0,12.0,3.0,0.0,0,64,12.0
20270,2012,KKR v DC,KKR,DC,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,23.0,[4],1.0,0.0,12.0,1.0,0.0,0,3,72.0
20271,2012,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,2.0,9.0,"[4, 11]",0.0,1.0,72.0,2.0,1.0,0,54,10.0
20272,2012,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,8.0,"[5, 11]",,0.0,10.0,2.0,,0,84,37.0
20273,2012,DC v SRH,DC,SRH,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,1.0,24.0,"[2, 5, 19]",,1.0,37.0,3.0,,0,86,27.0
20274,2012,MI v DC,MI,DC,"Wankhede Stadium, Mumbai",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,1.0,33.0,"[9, 11, 17]",,0.0,27.0,3.0,,0,61,68.0
20275,2012,DC v PWI,DC,PWI,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,2.0,11.0,"[9, 11, 17, 19]",1.0,1.0,68.0,4.0,0.0,0,57,12.0
20276,2012,PWI v DC,PWI,DC,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,29.0,"[5, 11, 17, 19]",1.0,0.0,12.0,4.0,0.0,0,43,2.0
20277,2012,DC v MI,DC,MI,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,0.0,40.0,"[4, 13, 17, 19]",,0.0,2.0,4.0,,0,64,62.0
20278,2012,DC v RR,DC,RR,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,2.0,36.0,"[6, 11, 18, 20]",,1.0,62.0,4.0,,0,42,4.0
20279,2012,RR v DC,RR,DC,"Sawai Mansingh Stadium, Jaipur",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,35.0,"[5, 13, 18, 20]",,0.0,4.0,4.0,,0,82,31.0
20280,2012,DC v KKR,DC,KKR,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,1.0,28.0,"[2, 12, 18, 20]",,1.0,31.0,4.0,,0,73,54.0
20281,2012,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,2.0,30.0,"[6, 8, 14, 16]",,1.0,54.0,4.0,,0,70,4.0
20282,2012,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,0.0,24.0,"[2, 7, 13]",,0.0,4.0,3.0,,0,0,87.0
20283,2012,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,3.0,21.0,"[8, 10, 12, 18]",,1.0,87.0,4.0,,0,55,14.0
20284,2012,PBKS v DC,PBKS,DC,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2.0,1.0,Umesh Yadav,4.0,DC,,0.0,2.0,0.0,0.0,0.0,42.0,"[2, 4, 17, 19]",,0.0,14.0,4.0,,1,49,101.0
20285,2012,DC v KKR,DC,KKR,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,3.0,19.0,"[2, 4, 6, 20]",,1.0,101.0,4.0,,0,58,30.0
20286,2012,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,Umesh Yadav,4.0,DC,DC,1.0,1.0,0.0,0.0,1.0,37.0,"[2, 12, 16, 18]",,0.0,30.0,4.0,,0,57,32.0
20288,2013,DC v RR,DC,RR,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,0.0,0.0,0.0,0.0,0.0,23.0,"[5, 7, 17]",,0.0,4.0,3.0,,1,55,130.0
20289,2013,MI v DC,MI,DC,"Wankhede Stadium, Mumbai",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,4.0,24.0,"[3, 5, 17, 19]",1.0,1.0,130.0,4.0,0.0,0,78,10.0
20290,2013,DC v SRH,DC,SRH,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,DC,5.0,4.0,0.0,1.0,0.0,28.0,"[5, 9, 16]",,0.0,10.0,3.0,,0,21,9.0
20291,2013,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",1.0,2.0,Umesh Yadav,4.0,DC,,6.0,5.0,0.0,1.0,0.0,32.0,"[6, 16, 19]",,0.0,9.0,3.0,,0,30,66.0
20292,2013,DC v CSK,DC,CSK,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,2.0,22.0,"[7, 10, 16, 19]",1.0,1.0,66.0,4.0,0.0,0,92,30.0
20293,2013,DC v MI,DC,MI,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,,1.0,5.0,0.0,0.0,1.0,33.0,"[4, 11, 16, 20]",,0.0,30.0,4.0,,0,4,74.0
20294,2013,PBKS v DC,PBKS,DC,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,2.0,31.0,"[6, 13, 17, 19]",1.0,1.0,74.0,4.0,1.0,0,15,4.0
20295,2013,DC v PWI,DC,PWI,"Shaheed Veer Narayan Singh International Stadium, Raipur",1.0,2.0,Umesh Yadav,4.0,DC,,,,,,0.0,38.0,"[7, 9, 16, 19]",,0.0,4.0,4.0,,0,37,56.0
20296,2013,DC v KKR,DC,KKR,"Shaheed Veer Narayan Singh International Stadium, Raipur",2.0,1.0,Umesh Yadav,4.0,DC,,,,,,2.0,24.0,"[2, 9, 15, 18]",,1.0,56.0,4.0,,0,91,70.0
20297,2013,SRH v DC,SRH,DC,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1.0,2.0,Umesh Yadav,4.0,DC,DC,,,,,2.0,36.0,"[3, 5, 17, 19]",1.0,1.0,70.0,4.0,0.0,0,24,14.0
20298,2013,RR v DC,RR,DC,"Sawai Mansingh Stadium, Jaipur",1.0,2.0,Umesh Yadav,4.0,DC,,2.0,5.0,0.0,0.0,0.0,27.0,"[2, 4, 14]",1.0,0.0,14.0,2.5,0.0,0,54,4.0
20299,2013,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,0.0,28.0,"[2, 4, 15]",,0.0,4.0,3.0,,0,55,3.0
20300,2013,DC v PBKS,DC,PBKS,"Arun Jaitley Stadium, Delhi",1.0,2.0,Umesh Yadav,4.0,DC,,4.0,1.0,0.0,1.0,0.0,65.0,"[6, 9, 18, 20]",,0.0,3.0,4.0,,0,73,6.0
20301,2013,CSK v DC,CSK,DC,"MA Chidambaram Stadium, Chepauk, Chennai",2.0,1.0,Umesh Yadav,4.0,DC,DC,,,,,0.0,19.0,"[6, 13, 17]",,0.0,6.0,3.0,,0,84,78.0
20302,2013,PWI v DC,PWI,DC,"Maharashtra Cricket Association Stadium, Pune",2.0,1.0,Umesh Yadav,4.0,DC,DC,12.0,9.0,1.0,0.0,2.0,26.0,"[5, 10, 17, 20]",,1.0,78.0,4.0,,0,85,31.0
20303,2014,RCB v KKR,RCB,KKR,Sharjah Cricket Stadium,1.0,2.0,Umesh Yadav,4.0,KKR,,8.0,9.0,0.0,0.0,1.0,52.0,"[6, 9, 17, 19]",,0.0,31.0,4.0,,0,16,27.0
20304,2014,KKR v PBKS,KKR,PBKS,"Sheikh Zayed Stadium, Abu Dhabi",2.0,1.0,Umesh Yadav,4.0,KKR,KKR,,,,,1.0,40.0,"[1, 3, 11, 19]",,0.0,27.0,4.0,,0,60,8.0
20305,2014,RR v KKR,RR,KKR,"Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",2.0,1.0,Umesh Yadav,4.0,KKR,,2.0,4.0,0.0,0.0,0.0,28.0,"[1, 3, 11, 20]",,0.0,8.0,4.0,,0,60,2.0
20307,2014,PBKS v KKR,PBKS,KKR,"Barabati Stadium, Cuttack",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,1.0,26.0,"[3, 7, 13, 15]",,0.0,31.0,4.0,,0,68,37.0
20308,2014,KKR v MI,KKR,MI,"Barabati Stadium, Cuttack",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,1.0,34.0,"[3, 5, 16, 19]",,1.0,37.0,4.0,,0,25,4.0
20309,2014,SRH v KKR,SRH,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,0.0,24.0,"[2, 7, 19]",,0.0,4.0,3.0,,0,5,93.0
20310,2014,KKR v CSK,KKR,CSK,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,3.0,26.0,"[2, 4, 14, 20]",,1.0,93.0,4.0,,0,22,4.0
20311,2014,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",1.0,2.0,Umesh Yadav,4.0,KKR,,,,,,0.0,29.0,"[3, 7, 9, 20]",,0.0,4.0,4.0,,0,95,33.0
20312,2014,KKR v SRH,KKR,SRH,"Eden Gardens, Kolkata",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,1.0,45.0,"[2, 4, 16, 19]",,1.0,33.0,4.0,,0,76,2.0
20313,2014,KKR v PBKS,KKR,PBKS,"Eden Gardens, Kolkata",1.0,2.0,Umesh Yadav,4.0,KKR,,,,,,0.0,32.0,"[7, 9, 19]",,0.0,2.0,3.0,,0,54,113.0
20314,2014,PBKS v KKR,PBKS,KKR,"M.Chinnaswamy Stadium, Bengaluru",2.0,1.0,Umesh Yadav,4.0,KKR,,,,,,3.0,13.0,"[2, 8, 10, 20]",2.0,1.0,113.0,4.0,0.0,0,19,29.0
